list,source,module,version,id,date,status,Repair type,,,,,,,,,,,,,,,,,,
[1],ChangeLog,ACPI,3.1,9c921c22a7f33397a6774d7fa076db9b6a0fd669,7/14/11,Resolved,mutex_lock,,,,,,,,,,,,,,,,,,
[2],ChangeLog,ACPI,3.1,69d94ec6d83d84044252d9ba03f6a8970816e350,8/6/11,Resolved,adding locks,,,,,,,,,,,,,,,,,,
[3],ChangeLog,ACPI,3.12.25,c0d653412fc8450370167a3268b78fc772ff9c87,7/7/14,Resolved,adding buffer variables,,,,,,,,,,,,,,,,,,
[4],ChangeLog,ACPI,3.12.25,66b42b78bc1e816f92b662e8888c89195e4199e1,7/7/14,Resolved,complex fix,,,,,,,,,,,,,,,,,,
[5],ChangeLog,Drivers,3.1,fce041beb03f93c7a771f0b4b6c45bb71ef90901,6/1/11,Resolved,complex fix,,,,,,,,,,,,,,,,,,
[6],ChangeLog,Drivers,3.1,febc9fe5387ed37cb329563ae29d21b41c71a9dd,6/3/11,Resolved,changing operation orders,,,,,,,,,,,,,,,,,,
[7],ChangeLog,Drivers,3.1,a7d529ae2158b5300e4aa16c21f1828bc864449b,6/24/11,Resolved,complex fix,,,,,,,,,,,,,,,,,,
[8],ChangeLog,Drivers,3.1,a929cbeef7d8e5c3603a6f43b977c03c922aada3,6/29/11,Resolved,adding atomic instructions,,,,,,,,,,,,,,,,,,
[9],ChangeLog,Drivers,3.1,f127f4727f3f60359570b6daa136ac1156e38fbf,7/14/11,Resolved,changing operation orders,,,,,,,,,,,,,,,,,,
[10],ChangeLog,Drivers,3.1,93b37905f70083d6143f5f4dba0a45cc64379a62,7/16/11,Resolved,mutex_lock,,,,,,,,,,,,,,,,,,
[11],ChangeLog,Drivers,3.1,7456caae37396fc1bc6f8e9461d07664b8c2f280,7/20/11,Resolved,changing operation orders,,,,,,,,,,,,,,,,,,
[12],ChangeLog,Drivers,3.1,b02f0c2ea25781e0f94b4fc8f6f85582057857b3,7/24/11,Resolved,adding atomic instructions,,,,,,,,,,,,,,,,,,
[13],ChangeLog,Drivers,3.1,a6e50b409d3f9e0833e69c3c9cca822e8fa4adbb,8/2/11,Resolved,complex fix,,,,,,,,,,,,,,,,,,
[14],ChangeLog,Drivers,3.1,585df1d90cb07a02ca6c7a7d339e56e46d50dafb,8/9/11,Resolved,complex fix,,,,,,,,,,,,,,,,,,
